Feature Family,Feature Name,Family Abbreviation,Aggregation Abbreviation,Dimension,IBSI Family code,IBSI Feature code,IBSI Aggregation code,RaCaT Feature/Family Description,FixedBin,PET_unit,CT_unit,MRI_unit
grey-level co-occurrence matrix,first measure of information correlation,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,second measure of information correlation,CM,2.5D:vmrg,2D,LFYI,--,ZWTZ,glcmFeatures2Dvmrg,FB,--,--,--
grey-level co-occurrence matrix,joint maximun,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,joint average,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,joint variance,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,joint entropy,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,difference average,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,difference variance,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,difference entropy,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,sum average,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,sum variance,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,sum entropy,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,angular second moment,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,contrast,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,dissimilarity,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference normalised,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,inverse difference moment normalised,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,inverse variance,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,correlation,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,autocorrelation,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,cluster tendency,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,cluster shade,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,cluster prominence,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,first measure of information correlation,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,second measure of information correlation,CM,3D:avg,3D,LFYI,--,ITBB,glcmFeatures3Davg,FB,--,--,--
grey-level co-occurrence matrix,joint maximun,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,joint average,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,joint variance,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,joint entropy,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,difference average,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,difference variance,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,difference entropy,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,sum average,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,sum variance,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,sum entropy,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,angular second moment,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,contrast,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
grey-level co-occurrence matrix,dissimilarity,CM,3D:mrg,3D,LFYI,--,IAZD,glcmFeatures3DWmrg,FB,--,--,--
