Feature Family,Feature Name,Family Abbreviation,Aggregation Abbreviation,Dimension,IBSI Family code,IBSI Feature code,IBSI Aggregation code,RaCaT Feature/Family Description,FixedBin,PET_unit,CT_unit,MRI_unit,
grey-level size zone matrix,low grey level zone emphasis,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_lgze
grey-level size zone matrix,high grey level zone emphasis,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_hgze
grey-level size zone matrix,small zone low grey level emphasis,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_szlge
grey-level size zone matrix,small zone high grey level emphasis,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_szhge
grey-level size zone matrix,large zone low grey level emphasis,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_lzlge
grey-level size zone matrix,grey level non uniformity glszm,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_glnu
grey-level size zone matrix,grey level non uniformity normalized glszm,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_glnu_norm
grey-level size zone matrix,zone size non uniformity,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_zsnu
grey-level size zone matrix,zone size non uniformity normalized,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_zsnu_norm
grey-level size zone matrix,zone percentage glszm,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_z_perc
grey-level size zone matrix,grey level variance glszm,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_lzhge
grey-level size zone matrix,zone size variance,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_zs_var
grey-level size zone matrix,zone size entropy,SZM,3D,3D,9SAK,--,K0B0,GLSZMFeatures3D,FBT,--,--,--,Fszm_zs_entr
neighbourhood grey tone difference matrix,coarseness,TDM,3D,3D,IPET,--,K0B0,ngtdmFeatures3D,FBT,--,--,--,Fngt_coarseness
neighbourhood grey tone difference matrix,contrast,TDM,3D,3D,IPET,--,K0B0,ngtdmFeatures3D,FBT,--,--,--,Fngt_contrast
neighbourhood grey tone difference matrix,busyness,TDM,3D,3D,IPET,--,K0B0,ngtdmFeatures3D,FBT,--,--,--,Fngt_busyness
neighbourhood grey tone difference matrix,complexity,TDM,3D,3D,IPET,--,K0B0,ngtdmFeatures3D,FBT,--,--,--,Fngt_complexity
neighbourhood grey tone difference matrix,strength,TDM,3D,3D,IPET,--,K0B0,ngtdmFeatures3D,FBT,--,--,--,Fngt_strength
neighbouring grey level dependence matrix,low dependence emphasis,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_lde
neighbouring grey level dependence matrix,high dependence emphasis,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_hde
neighbouring grey level dependence matrix,low grey level count emphasis,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_lgce
neighbouring grey level dependence matrix,high grey level count emphasis,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_hgce
neighbouring grey level dependence matrix,low dependence low grey level emphasis,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_ldlge
neighbouring grey level dependence matrix,low dependence high grey level emphasis,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_ldhge
neighbouring grey level dependence matrix,high dependence low grey level emphasis,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_hdlge
neighbouring grey level dependence matrix,high dependence high grey level emphasis,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_hdhge
neighbouring grey level dependence matrix,grey level non uniformity,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_glnu
neighbouring grey level dependence matrix,grey level non uniformity normalized,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_glnu_norm
neighbouring grey level dependence matrix,dependence count non uniformity,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_dcnu
neighbouring grey level dependence matrix,dependence count non uniformity normalized,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_dcnu_norm
neighbouring grey level dependence matrix,grey level variance,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_gl_var
neighbouring grey level dependence matrix,dependence count variance,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_dc_var
neighbouring grey level dependence matrix,dependence count entropy,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_dc_entr
neighbouring grey level dependence matrix,dependence count energy,LDM,3D,3D,REK0,--,K0B0,ngldmFeatures3D,FBT,--,--,--,Fngl_dc_energy
